City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ushuaia,-54.8,-68.3,42.46,87,75,10.36,AR,1632186512
Puerto Ayora,-0.7393,-90.3518,68.09,83,40,10.4,EC,1632186596
Tuktoyaktuk,69.4541,-133.0374,39.2,87,90,16.11,CA,1632186708
East London,-33.0153,27.9116,57.63,55,9,25.72,ZA,1632186708
Poum,-20.2333,164.0167,72.7,64,16,20.18,NC,1632186709
Saint-Augustin,51.226,-58.6502,50.04,60,22,11.52,CA,1632186709
Dingle,10.9995,122.6711,80.4,84,100,2.86,PH,1632186709
Yaan,7.3833,8.5667,74.17,93,100,6.08,NG,1632186710
Stokmarknes,68.5646,14.9108,48.18,57,0,21.85,NO,1632186710
Puerto Escondido,15.85,-97.0667,81.43,57,75,0,MX,1632186711
Hackettstown,40.854,-74.8291,69.66,72,43,3.44,US,1632186711
Busselton,-33.65,115.3333,59.2,55,0,11.59,AU,1632186711
Hermanus,-34.4187,19.2345,51.69,67,34,6.91,ZA,1632186712
New Norfolk,-42.7826,147.0587,49.5,58,100,8.93,AU,1632186712
North Branch,45.5113,-92.9802,62.67,94,62,11.18,US,1632186713
Nanortalik,60.1432,-45.2371,37.33,71,2,12.97,GL,1632186713
Lorengau,-2.0226,147.2712,80.69,79,99,4.99,PG,1632186713
Stephenville,32.2207,-98.2023,93.2,31,40,4.61,US,1632186714
Leningradskiy,69.3833,178.4167,26.67,82,86,11.88,RU,1632186714
Roquetas de Mar,36.7642,-2.6148,75.2,84,15,4.47,ES,1632186714
Aykhal,66,111.5,36.18,64,100,13.76,RU,1632186715
Albany,42.6001,-73.9662,66.07,84,100,4.63,US,1632186667
Hobart,-42.8794,147.3294,49.86,53,75,12.66,AU,1632186453
Punta Arenas,-53.15,-70.9167,51.91,66,75,17.27,CL,1632186716
Warri,5.5167,5.75,76.59,90,100,4.03,NG,1632186716
Haines Junction,60.7522,-137.5108,42.75,93,100,2.3,CA,1632186716
Port Alfred,-33.5906,26.891,59.27,57,97,24.83,ZA,1632186717
Rikitea,-23.1203,-134.9692,73.99,76,15,11.61,PF,1632186505
Carnarvon,-24.8667,113.6333,75.96,33,0,20.85,AU,1632186717
